refArea,Potable water source - water point,State of the water network - good,State of the water network - acceptable,Potable water source - gallons purchase,Potable water source - artesian well,Total number of permanent water springs,State of the water network - bad,Observation URI,references,Potable water source - public network,publisher,Potable water source - other,Town,Total number of seasonal water springs,dataset,Total number of seasonal water points
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,1,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-+Bireh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0, Bireh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/South_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,A'ain El-Mir (El Establ),0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,AAridet Cheikh Zennad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/North_Governorate,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aaba,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aaba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,0,0,1,0,0,20,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabadiyeh,20,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabaydat,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabba,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aabba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,0,0,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aabbesiyyi,10,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Bsharri_District,0,0,0,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabdine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aabdine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Sidon_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aabra Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
